Name	Role	Tons	Propulsion	Type
USS Winona (1861)	Gunboat	691	Steam	Gunboat
USS Wissahickon (1861)	Gunboat	691	Steam	Gunboat
USS Wyalusing	Gunboat	1173	Steam	Gunboat
USS Wyandotte (1853)	Gunboat	464	Steam	Gunboat
USS Yantic (IX-32)	Gunboat	836	Steam	Gunboat
USS Young Rover	Gunboat	418	Steam, Sail	Gunboat
USS Yucca (1864)	Gunboat	373	Steam	Gunboat
America  	Obstacle	418	Sail	Stoned
Archer	Obstacle	322	Sail	Stoned
Augusta Holly	Obstacle		Sail	Stoned
Balize (tug)	Tug	321.1	Steam	Tug
Corea	Obstacle	336	Sail	Stoned
Cossack	Obstacle	254	Sail	Stoned
Courier	Obstacle	381	Sail	Stoned
CSS Selma (1856)	Transport	590	Steam	Steamboat
Dove 	Obstacle	151	Sail	Stoned
Edward 	Obstacle	274	Sail	Stoned
Emerald 	Obstacle	518	Sail	Stoned
Era No. 5	Transport	115	Steam	Steamer
Fortune	Obstacle	292	Sail	Bark Stoned
Frances Henrietta	Obstacle		Sail	whaler stoned
Garland	Obstacle	243	Sail	Stoned
George W. Blunt (1856)	Pilot Boat	122	Sail	Schooner
Harvest	Obstacle		Sail	Stoned
Herald	Obstacle	274	Sail	whaler stoned
India	Obstacle	233	Sail	Bark Stoned
Jubilee 	Obstacle	233	Sail	Stoned
Kensington	Obstacle	357	Sail	Stoned
L.C. Richmond	Obstacle	341	Sail	Stoned
Leonidas	Obstacle	231	Sail	Stoned
Lewis	Obstacle	308	Sail	Stoned
Majestic 	Obstacle	297	Sail	Stoned
Marcia 	Obstacle	356	Sail	Stoned
Margaret Scott 	Obstacle	330	Sail	Stoned
Maria Theresa	Obstacle	330	Sail	Stoned
Mechanic 	Obstacle	335	Sail	Stoned
Messenger 	Obstacle	216	Sail	Stoned
Meteor	Obstacle		Sail	Stoned
New England 	Obstacle	368	Sail	Stoned
Newburyport 	Obstacle	341	Sail	Stoned
Noble 	Obstacle	274	Sail	Stoned
Peri 	Obstacle	261	Sail	Stoned
Peter Demill	Obstacle	300	Sail	Bark Stoned
Phoenix	Obstacle	404	Sail	Stoned
Robin Hood	Obstacle	395	Sail	Stoned
Sarah M. Kemp	Obstacle		Sail	Stoned
South America	Obstacle	606	Sail	Stoned
Stephen Young 	Obstacle	200	Sail	Stoned
Tenedos	Obstacle	245	Sail	Bark Stoned
Timor 	Obstacle	289	Sail	Stoned
USLHT Shubrick	Lighthouse Tender	305	Steam	Tender
USS A. Houghton	Transport	326	Sail	
USS Abraham	Transport	800	Steam	
USS Acacia	Tug	300	Steam	Tug
USS Adelaide	Transport	734	Steam	
USS Agamenticus	Monitor	3295	Steam	Miantonomoh-class Monitor
USS Alligator (1862)	Submarine	275	Hand Crank	
USS Alonzo Child	Transport	493	Steam	
USS Alpha (1864)	Tug	55	Steam	Tug
USS Althea (1863)	Tug	72	Steam	Tug
USS Amaranthus	Tug	182	Steam	Tug
USS Amazon	Obstacle	318	Sail	stoned
USS American (1861)	Obstacle	329	Sail	stoned
USS Antietam (1869)	Transport	3953	Steam, Sail	
USS Arethusa (1864)	Transport	195	Steam	
USS Arizona (1858)	Transport	959	Steam	
USS Arkansas (1863)	Transport	752	Steam	
USS Aster	Tug	285	Steam	Tug
USS Baltimore (1861)	Transport	500	Steam	
USS Barataria (1862)	Transport	400	Steam	
USS Bazely (1863)	Patrol	50	Steam	
USS Belle	Tug	52	Steam	Tug
USS Benefit	Transport	213	Steam	Steamer
USS Berberry	Tug	163	Steam	Tug
USS Bermuda	Transport	1238	Steam	
USS Bibb (1853)	Tug	409	Steam	Tug
USS Blue Light	Tug	103	Steam	Tug
USS Brandywine	Transport	1708	Sail	
USS Buckthorn (1863)	Tender 	128	Steam	
USS Canonicus (1863)	Monitor	1034	Steam	Canonicus-class Monitor
USS Casco (1864)	Torpedo Boat 	1175	Steam	Torpedo Boat 
USS Catalpa (1864)	Tug	191	Steam	Tug
USS Catawba (1864)	Monitor	1034	Steam	Canonicus-class Monitor
USS Catskill (1862)	Monitor	1335	Steam	Passaic-class Monitor
USS Charles Phelps	Transport	363	Sail	Collier
USS Chatham (1836)	Transport	198	Steam	Steamship
USS Chattanooga (1864)	Transport	3043	Steam	Steamer
USS Chickasaw (1864)	Monitor	1300	Steam	Milwaukee-class Monitor
USS Chimo (1864)	Torpedo Boat 	1175	Steam	Torpedo Boat 
USS Circassian	Transport	1750	Steam	ship
USS Clara Dolsen	Transport	939	Steam	Steamer
USS Clematis (1863)	Tug	297	Steam	Tug
USS Clinton (1864)	Tug	50	Steam	Tug
USS Coeur de Lion	Transport	110	Steam	Steamer
USS Columbine (1862)	Transport	133	Steam	Steamer
USS Daffodil (1862)	Transport	173	Steam	Steamer
USS Dahlia (1862)	Tug	50	Steam	Tug
USS Daisy (1850)	Tug	50	Steam	Tug
USS Dandelion (1862)	Tug	100	Steam	Tug
USS Darlington (1862)	Transport	300	Steam	Steamer
USS Dawn (1857)	Transport	399	Steam	Steamer
USS Daylight	Transport	682	Steam	Steamer
USS Delta (1864)	Tug	50	Steam	Tug
USS Don	Transport	390	Steam	Steamer
USS Donegal (1860)	Transport	1080	Steam	Steamer
USS Emma (1863)	Transport	350	Steam	Steamer
USS Epsilon	Tug	55	Steam	Tug
USS Eugenie	Tender 	150	Sail	Tender
USS Fahkee	Tug	745	Steam	Tug
USS Fearnot	Transport	1012	Steam	ship
USS Fern (1862)	Tug	50	Steam	Tug
USS Fort Donelson	Transport	900	Steam	Steamer
USS Fort Jackson (1862)	Transport	1850	Steam	Steamer
USS Fredonia	Transport	799	Sail	ship
USS Gamage (1864)	Transport	187	Steam	Steamer
USS Gamma (1863)	Tug	36	Steam	Tug
USS Garland (1815)	Transport	243	Sail	Bark
USS General Lyon (1860)	Transport	468	Steam	Cargo
USS General Price	Transport	633	Steam	Steamer
USS George Washington Parke Custis (1861)	Balloon Barge	1726	Towed	barge balloon 
USS Gettysburg (1858)	Transport	950	Steam	Steamer
USS Gladiolus	Minesweeper 	81	Steam	Minesweeper
USS Glance (1863)	Tug	81	Steam	Tug
USS Grampus (1863)	Transport	230	Steam	Steamer
USS Great Western (1857)	Transport	429	Steam	ship
USS Guard (1857)	Transport	1846	Sail	ship
USS Hatteras (1861)	Transport	1126	Steam	
USS Heliotrope	Transport	239	Steam	Steamer
USS Hollyhock	Tug	352	Steam	Tug
USS Hope (1861)	Transport	134	Sail	Schooner
USS Horace Beals	Transport	296	Sail	ship
USS Hornet (1865)	Transport	835	Steam	prize 
USS Hoyt (1863)	Torpedo Boat 	None	Steam	Torpedo Boat 
USS Ibex (1863)	Transport	235	Steam	Steamer
USS Iris (1863)	Transport	159	Steam	Steamer
USS Iron Age	Transport	424	Steam	Steamer
USS Isaac N. Seymour	Transport	133	Steam	Steamer
USS Isaac Smith	Transport	453	Steam	Steamer
USS Island Belle	Tug	123	Steam	Tug
USS J. C. Kuhn	Transport	888	Sail	ship
USS James Adger	Transport	1152	Steam	Steamer
USS Jamestown (1844)	Transport	1150	Sail	Sloop
USS Jasmine	Tug	120	Steam	Tug
USS Jean Sands (1863)	Tug	139	Steam	Tug
USS Judge Torrence	Transport	700	Steam	Steamer
USS Julia (1863)	Tender 	10	Sail	Tender
USS Juniper	Tug	116	Steam	Tug
USS Kalmia (1863)	Tug	112	Steam	Tug
USS Keystone State (1853)	Transport	1364	Steam	Steamer
USS Kickapoo (1864)	Monitor	1300	Steam	Milwaukee-class Monitor
USS King Philip	Transport	500	Steam	Steamer
USS Laburnum (1864)	Tug	181	Steam	Tug
USS Lafayette (1848)	Transport	1193	Steam	Steamer
USS Larkspur (1863)	Transport	121	Steam	Steamer
USS Laurel (1862)	Tug	50	Steam	Tug
USS Lavender	Transport	173	Steam	Steamer
USS Lehigh (1863)	Monitor	1335	Steam	Passaic-class Monitor
USS Lenapee	Tug	974	Steam	Tug
USS Leslie	Tug	100	Steam	Tug
USS Lilac (1863)	Tug	129	Steam	Tug
USS Lily	Tug	50	Steam	Tug
USS Linden	Transport	177	Steam	Steamer
USS Mahopac (1864)	Monitor	1034	Steam	Canonicus-class Monitor
USS Manhattan (1863)	Monitor	1034	Steam	Canonicus-class Monitor
USS Maria Denning (1858)	Transport	870	Steam	ship
USS Marigold (1863)	Tug	115	Steam	Tug
USS Martin (1864)	Tug	25	Steam	Tug
USS Massachusetts (1845)	Transport	765	Steam, Sail	steamship
USS Memphis (1862)	Transport	1091	Steam	Steamer
USS Mendota (1863)	Transport	974	Steam	Steamer
USS Merrimac (1864)	Transport	635	Steam	Steamer
USS Miami (1861)	Transport	730	Steam	Steamer
USS Miantonomoh (1863)	Monitor	3401	Steam	Miantonomoh-class Monitor
USS Michigan (1843)	Transport	685	Steam	Steamer
USS Mignonette	Tug	50	Steam	Tug
USS Milwaukee (1864)	Monitor	1300	Steam	Milwaukee-class Monitor
USS Mistletoe (1861)	Tug	50	Steam	Tug
USS Monadnock (1863)	Monitor	3295	Steam	Miantonomoh-class Monitor
USS Monarch (1862)	Transport	406	Steam	Ram
USS Monongahela (1862)	Transport	2078	Steam	ship
USS Montauk (1862)	Monitor	750	Steam	Passaic-class Monitor
USS Monterey (1862)	Tug	87	Steam	Tug
USS Montezuma 	Obstacle	424	Sail	Stoned
USS Montgomery (1858)	Transport	787	Steam	Steamer
USS Monticello (1859)	Transport	655	Steam	Steamer
USS Myrtle (1862)	Tug	60	Steam	Tug
USS Nahant (1862)	Monitor	1875	Steam	Passaic-class Monitor
USS Nantucket (1862)	Monitor	1875	Steam	Passaic-class Monitor
USS Naubuc (1864)	Torpedo Boat 	1175	Steam	Torpedo Boat 
USS Neosho	Monitor	523	Steam	Neosho-class Monitor
USS Nettle (1862)	Tug	50	Steam	Tug
USS New National (1862)	Transport	1000	Steam	Steamer
USS Nymph (1863)	Transport	171	Steam	Steamer
USS O. M. Pettit	Tug	165	Steam	Tug
USS Oleander	Transport	246	Steam	Steamer
USS Oneota (1864)	Monitor	1034	Steam	Canonicus-class Monitor
USS Osage	Monitor	523	Steam	Neosho-class Monitor
USS Ozark (1863)	Monitor	578	Steam	Ozark-class Monitor
USS Pampero	Transport	1375	Sail	ship
USS Pansy (1861)	Tug	46	Steam	Tug
USS Passaic (1862)	Monitor	1355	Steam	Passaic-class Monitor
USS Patapsco (1862)	Monitor	1875	Steam	Passaic-class Monitor
USS Percy Drayton	Tender 	20	Sail	Tender
USS Philadelphia (1861)	Transport	500	Steam	Steamer
USS Phlox (1864)	Transport	317	Steam	Steamer
USS Poppy	Tug	93	Steam	Tug
USS Port Fire	Tug	103	Steam	Tug
USS Powhatan (1850)	Transport	2415	Steam	Steamer
USS Puritan (1864)	Monitor	3265	Steam	Ocean-going Monitor
USS Queen	Transport	630	Steam	ship
USS Queen of the West (1854)	Transport	406	Steam	Ram
USS R. B. Forbes	Transport	320	Steam	Steamer
USS Rattler	Transport	165	Steam	Steamer
USS Rebecca Sims (1801)	Obstacle	400	Sail	whaler Stoned
USS Red Rover	Transport	650	Steam	Steamer
USS Release (1855)	Transport	327	Sail	ship
USS Relief (1836)	Transport	468	Sail	ship
USS Rocket (1862)	Tug	187	Steam	Tug
USS Rose	Tug	96	Steam	Tug
USS Sallie Wood	Tug	256	Steam	Tug
USS Samson	Tug	230	Steam	Tug
USS Sangamon (1862)	Monitor	1335	Steam	Passaic-class Monitor
USS Satellite (1854)	Tug	217	Steam	Tug
USS Saugus (1863)	Monitor	2100	Steam	Canonicus-class Monitor
USS Shawsheen (1855)	Tug	180	Steam	Tug
USS Sibyl (1863)	Transport	176	Steam	Steamer
USS Sorrel	Tug	68	Steam	Tug
USS Sovereign (1855)	Tender 	336	Steam	Tender
USS Spirea (1864)	Transport	409	Steam	Steamer
USS Spuyten Duyvil	Torpedo Boat 	207	Steam	Torpedo Boat 
USS Stonewall (1863)	Tender 	30	Sail	Tender
USS Sumter (1862)	Transport	525	Steam	Steamer
USS Supply (1846)	Transport	547	Sail	ship
USS Swift (1864)	Tender 	12	Sail	Tender
USS Teaser	Tug	64	Steam	Tug
USS Tecumseh (1863)	Monitor	2100	Steam	Canonicus-class Monitor
USS Tritonia (1863)	Transport	202	Steam	Steamer
USS Tunxis (1864)	Monitor	1175	Steam	Casco-class Monitor
USS Underwriter (1852)	Transport	341	Steam	Steamer
USS Unit (1862)	Tug	57	Steam	Tug
USS Valparaiso (1836)	Transport	402	Sail	ship
USS Vixen (1861)	Reconnaissance	300	Steam	Reconnaissance
USS Weehawken (1862)	Monitor	1173	Steam	Passaic-class Monitor
USS Wild Cat	Tender 	30	Sail	Tender
USS William Badger	Transport	334	Sail	ship
USS Winnebago (1863)	Monitor	1300	Steam	Milwaukee-classMonitor
USS Wyandank	Transport	400	Steam	ship
USS Wyandotte (1864)	Monitor	1034	Steam	Canonicus-class Monitor
USS Yankee (1861)	Tug	328	Steam	Tug
USS Young America	Tender 	173	Steam	Tender
USS Zeta	Transport	60	Steam	Steamer
USS Zouave	Tender 	127	Steam	Tender
Valparaiso 	Obstacle	402	Sail	Stoned
William Lee 	Obstacle	311	Sail	Stoned
