,ix,name,description,propulsion
0,,USS Marmora (1862),Gunboat of the United States Navy,
0,,USS Martin (1864),Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Mary Sanford (1862),Gunboat of the United States Navy,steam engine
0,,USS Massachusetts (1845),American steamship,  steam engine   screw-propelled  
0,,USS Massachusetts (1860),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Massasoit,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Mattabesett (1863),Gunboat of the United States Navy,
0,,USS Matthew Vassar,Gunboat of the United States Navy,
0,,USS Maumee (1863),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Memphis (1862),M,
0,,USS Mendota (1863),Union navy steamer,  steam engine   side wheel-propelled  
0,,USS Mercedita,Gunboat of the United States Navy,Steam engine
0,,USS Merrimac (1864),Sidewheel steamer,
0,,USS Merrimack (1855),U.S. Navy Steam frigate,
0,,USS Metacomet (1863),Gunboat of the United States Navy,Steam engine
0,,USS Meteor (1819),M,
0,,USS Meteor (1863),Gunboat of the United States Navy,
0,,USS Miami (1861),American side-wheel steamer gunboat,Steam engine
0,,USS Miantonomoh (1863),Lead ship of Miantonomoh-class,HRCR steam engines
0,,USS Michigan (1843),M,steam engines
0,,USS Midnight (1861),Gunboat of the United States Navy,
0,,USS Mignonette,Tugboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS Milwaukee (1864),Lead ship of Milwaukee-class,  4 × Shafts   2 ×  Non-condensing steam engines  
0,,USS Mingoe,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Minnesota (1855),Gunboat of the United States Navy,
0,,USS Mississippi (1841),Gunboat of the United States Navy,
0,,USS Mist (1864),Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Mistletoe (1861),Tugboat of the United States Navy,steam engine
0,,USS Mobile (1854),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Moccasin (1864),Gunboat of the United States Navy,
0,,USS Mohawk (1858),Gunboat of the United States Navy,
0,,USS Mohican (1859),Sloops-of-war of the United States Navy,Steam engine
0,,USS Monadnock (1863),Miantonomoh-class monitor,vibrating-lever steam engines
0,,USS Monarch (1862),M,
0,,USS Monongahela (1862),Cargo ship of the United States Navy,Steam engine
0,,USS Montauk (1862),M,  1 × Ericsson vibrating lever engine   2 ×  Martin boilers   1 × shaft  
0,,USS Monterey (1862),Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Montgomery (1858),M,Steam engine
0,,USS Monticello (1859),M,  Steam engine   screw-propelled  
0,,USS Moose (1863),Gunboat of the United States Navy,  steam engine   sternwheel-propelled  
0,,USS Morning Light,Gunboat of the United States Navy,
0,,USS Morse,Gunboat of the United States Navy,hp bore stroke vertical beam steam engine paddlewheels
0,,USS Mound City (1861),Civil War gunboat,
0,,USS Mount Vernon (1859),Gunboat of the United States Navy,Steam engine
0,,USS Mount Washington (1846),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Myrtle (1862),Tugboat of the United States Navy,  steam engine   twin screw-propelled  
0,,USS Mystic (1853),Gunboat of the United States Navy,  Steam engine   Screw-propelled  
0,,USS Nahant (1862),M,  1 × Ericsson vibrating lever engine   2 ×  Martin boilers   1 × shaft  
0,,USS Naiad (1863),Gunboat of the United States Navy,stern wheel paddle steamer
0,,USS Nansemond (1862),Gunboat of the United States Navy,Steam engine
0,,USS Nantucket (1862),M,Martin boilers (235  kW)
0,,USS Narcissus (1863),Gunboat of the United States Navy,Steam engine
0,,USS Narragansett (1859),Gunboat of the United States Navy,
0,,USS Nathaniel Taylor (1863),M,
0,,USS Naubuc (1864),Torpedo boat of the United States Navy,
0,,USRC Naugatuck,Revenue cutter of the United States,  Steam engine   twin screw-propelled  
0,,USS Naumkeag (1863),Gunboat of the United States Navy,  steam engine   sternwheel-propelled  
0,,Neosho-class monitor,United States Navy's Neosho-class ironclad river monitors,  1 × horizontal  steam engine   stern wheel -propelled  
0,,USS Neptune (1863),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Nereus (1863),Gunboat of the United States Navy,Steam engine
0,,USS Nettle (1862),Tugboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS New Berne (1862),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS New England (1861),M,
0,,USS New Era,Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS New Hampshire (1864),New Hampshire named ship,
0,,USS New London,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS New National (1862),M,  steam engine   side wheel-propelled  
0,,USS Niagara (1855),Gunboat of the United States Navy,Steam engine
0,,USS Nightingale (1851),Gunboat of the United States Navy,
0,,USS Niphon (1863),Gunboat of the United States Navy,steam engine
0,,USS Nipsic,Gunboat of the United States Navy,
0,,USS Nita,Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS Noble (1861),M,
0,,USS Norfolk Packet,Gunboat of the United States Navy,schooner
0,,USS Norwich (1861),Gunboat of the United States Navy,Steam engine
0,,USS Nyanza (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Nymph (1863),Union Navy steamer in the American Civil War,  steam engine   stern wheel-propelled  
0,,USS O. M. Pettit,Tugboat of the United States Navy,Steam engine sidewheel
0,,USS Octorara (1861),Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS Ohio (1820),1820 ship of the line,
0,,USS Oleander,Union Civil War patrol boat,  steam engine   side wheel-propelled  
0,,USS Oliver H. Lee,Gunboat of the United States Navy,
0,,USS Oneida (1861),Gunboat of the United States Navy,Steam engine
0,,USS Oneota (1864),Canonicus-class monitor,  1 ×  Propeller   1 ×  Vibrating-lever steam engine  
0,,USS Onward (1852),Gunboat of the United States Navy,
0,,USS Oriole (1864),Gunboat of the United States Navy,Steam engine stern wheel
0,,USS Orion (1861),M,
0,,USS Orvetta (1861),Gunboat of the United States Navy,
0,,USS Osceola (1863),Gunboat of the United States Navy,
0,,USS Ossipee (1861),Gunboat of the United States Navy,Steam engine
0,,USS Otsego (1863),Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS Ottawa (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Ouachita,Gunboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS Owasco (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Ozark (1863),American river monitor,  4 × Shafts   2 × 2-cylinder  steam engines  
0,,USS Pampero,Cargo ship of the United States Navy,
0,,USS Pansy (1861),Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Para,Gunboat of the United States Navy,
0,,USS Passaic (1862),M,Martin boilers ihp kW
0,,USS Patapsco (1862),1862 Passaic-class ironclad monitor,  1 × Ericsson vibrating lever engine   2 ×  Martin boilers   1 × shaft  
0,,USS Patriot (1861),Cargo ship of the United States Navy,schooner
0,,USS Patroon (1859),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Paul Jones (1862),Gunboat of the United States Navy,
0,,USS John Paul Jr.,Gunboat of the United States Navy,steam engine
0,,USS Paw Paw,Gunboat of the United States Navy,  steam engine   center wheel-propelled  
0,,USS Pawnee (1859),Gunboat of the United States Navy,Steam engine
0,,USS Pawtuxet,Gunboat of the United States Navy,
0,,USS Pembina (1861),Unadilla-class gunboat of the Union Navy during the American Civil War,IHP bore stroke back-acting
0,,USS Penguin (1861),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Pennsylvania (1837),Ship of the line,
0,,USS Penobscot (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Pensacola (1859),Gunboat of the United States Navy,Steam engine
0,,USS Peony,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Peosta,Gunboat of the United States Navy,steam engine
0,,USS Pequot (1863),Gunboat of the United States Navy,
0,,USS Percy Drayton,Tender of the United States Navy,sloop
0,,USS Peri (1861),M,
0,,USS Perry (1843),Gunboat of the United States Navy,
0,,USS Peter Demill (1861),M,
0,,USS Peterhoff (1863),Gunboat of the United States Navy,steam engine
0,,USS Petrel (1862),Gunboat of the United States Navy,
0,,USS Philadelphia (1861),US Navy ship during the American Civil War,Steam engine
0,,USS Philippi,Gunboat of the United States Navy,Steam engine sidewheel
0,,USS Phlox (1864),Union Navy steamer,  steam engine   side wheel-propelled  
0,,USS Phoenix (1861),M,
0,,USS Pink,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Pinola (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Pittsburgh (1861),Gunboat of the United States Navy,
0,,USS Planter (1862),Gunboat of the United States Navy,  Steam engine   sidewheel-propelled  
0,,USS Plymouth (1844),Gunboat of the United States Navy,
0,,USS Pocahontas (1852),Gunboat of the United States Navy,Steam engine
0,,USS Polaris (1871),Gunboat of the United States Navy,
0,,USS Pontiac (1863),Gunboat of the United States Navy,
0,,USS Pontoosuc,Gunboat of the United States Navy,Steam engine side wheels
0,,USS Poppy,Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Port Fire,Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Port Royal (1862),Gunboat of the United States Navy,steam engine
0,,USS Portsmouth (1843),Gunboat of the United States Navy,
0,,USS Potomac (1822),M,
0,,USS Potomac (1861),M,
0,,USS Potomska (1861),Gunboat of the United States Navy,Steam engine
0,,USS Powhatan (1850),Ship,Steam engine
0,,USS Prairie Bird,Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Preble (1839),Sloop-of-war of the United States Navy,
0,,USS Preston (1864),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Preston (1865),Gunboat of the United States Navy,Steam engine
0,,USS Primrose,Gunboat of the United States Navy,steam engine
0,,USS Princess Royal,Gunboat of the United States Navy,  2-cylinder  steam engine   screw-propelled  
0,,USS Princeton (1851),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Proteus (1863),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Puritan (1864),American Ironclad monitors,  2 ×  propellers   1 ×  vibrating-lever steam engine  
0,,USS Pursuit (1861),Gunboat of the United States Navy,
0,,USS Quaker City,Gunboat of the United States Navy,Steam engine
0,,USS Queen,Cargo ship of the United States Navy,  steam engine   screw-propelled  
0,,USS Queen City,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Queen of the West (1854),Sidewheel steamer ram ship,
0,,USS R. B. Forbes,American Civil War-era steam ship,  2 x  condensing engines   2 × screw propellers  
0,,USS R. R. Cuyler (1860),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Racer (1861),Gunboat of the United States Navy,
0,,USS Rachel Seaman (1861),Gunboat of the United States Navy,
0,,USS Raritan (1843),M,
0,,USS Rattler,Steamboat of the Union Navy during the American Civil War,  steam engine   side-wheel propelled  
0,,USS Rebecca Sims (1801),M,
0,,USS Red Rover,Confederate steamship used by the US Navy as a hospital ship during the American Civil War,  Steam engine   side wheel-propelled  
0,,USS Reindeer (1863),Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Release (1855),Cargo ship of the United States Navy,
0,,USS Reliance (1860),Gunboat of the United States Navy,steam engine
0,,USS Relief (1836),Cargo ship of the United States Navy,
0,,USS Renshaw (1862),United States Navy schooner,
0,,USS Rescue (1861),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Resolute (1860),Gunboat of the United States Navy,"  steam engine ,   screw propelled  "
0,,USS Restless (1861),Gunboat of the United States Navy,
0,,USS Rhode Island (1860),Gunboat of the United States Navy,Steam engine
0,,USS Richard Vaux (1864),M,
0,,USS Richmond (1860),Gunboat of the United States Navy,
0,,USS Robin Hood (1861),M,
0,,USS Rocket (1862),Tugboat of the United States Navy,Screw
0,,USS Rodolph,Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Roebuck,Gunboat of the United States Navy,
0,,USS Rosalie,Gunboat of the United States Navy,
0,,USS Rose,Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Sabine (1855),M,
0,,USS Sachem (1861),Gunboat of the United States Navy,Steam engine
0,,USS Saco (1863),Gunboat,
0,,USS Sacramento (1862),Gunboat of the United States Navy,Steam engine
0,,USS Saffron (1863),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Sagamore (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Saginaw (1859),American sidewheel sloop-of-war,
0,,USS Sallie Wood,Tugboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Sam Houston (1861),Gunboat of the United States Navy,schooner
0,,USS Samson,Tugboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Samuel Rotan (1861),Gunboat of the United States Navy,
0,,USS San Jacinto (1850),Screw frigate in the US Navy famous for her role in the Trent Affair of 1861,Steam engine
0,,USS Sangamon (1862),M,  1 × Ericsson vibrating lever engine   2 ×  Martin boilers   1 × shaft  
0,,USS Santee (1855),Gunboat of the United States Navy,
0,,USS Santiago de Cuba,Gunboat of the United States Navy,  sail and  steam engine   side wheel-propelled  
0,,USS Sarah and Caroline,Schooner,schooner
0,,USS Sarah Bruen (1862),Gunboat of the United States Navy,schooner
0,,USS Sarah M. Kemp (1861),M,
0,,USS Saranac (1848),Gunboat of the United States Navy,  Sail and  steam engine   Side wheel-propelled  
0,,USS Saratoga (1842),Sloop-of-war of the United States Navy,
0,,USS Sassacus (1862),Gunboat of the United States Navy,
0,,USS Satellite (1854),American naval ship,  steam engine   side wheel propelled  
0,,USS Saugus (1863),1863 Canonicus-class monitor,  1 ×  Propeller   1 ×  Vibrating-lever steam engine  
0,,USS Savannah (1842),M,
0,,USS Sciota (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Sea Bird,Gunboat of the United States Navy,
0,,USS Sea Foam (1861),Gunboat of the United States Navy,
0,,USS Sebago (1861),Gunboat of the United States Navy,IHP bore stroke steam engine
0,,CSS Selma (1856),Steamboat,
0,,USS Seminole (1859),Gunboat of the United States Navy,steam engine
0,,USS Seneca (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Shamrock,Gunboat of the United States Navy,  steam engine   side wheel-propelled   double ended  
0,,USS Shawmut (1863),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Shawsheen (1855),Steam operated tugboat pruchased by the US Navy,  Steam engine   Side-paddlewheel  
0,,USS Shenandoah (1862),Sloop-of-war of the United States Navy,Steam engine
0,,USS Shepherd Knapp,Gunboat of the United States Navy,
0,,USS Shokokon,Warship of the United States Navy,  steam engine   side wheel-propelled  
0,,USLHT Shubrick,M,"  1 single-expansion ""harp & steeple"" steam engine   3 furnaces heated by a 12-by-11-foot (3.7 by 3.4 m) boiler   284 bhp (212 kW)   19-foot-diameter (5.8 m) paddle-wheels  "
0,,USS Sibyl (1863),M,  steam engine   side wheel-propelled  
0,,USS Sidney C. Jones,Gunboat of the United States Navy,
0,,USS Signal (1862),Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Silver Cloud (1862),Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Silver Lake (1862),Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Siren (1862),Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Snowdrop (1863),Gunboat of the United States Navy,
0,,USS Somerfield (1861),M,
0,,USS Somerset (1862),Gunboat of the United States Navy,Steam engine
0,,USS Sonoma (1862),Gunboat of the United States Navy,Steam engine
0,,USS Sophronia,Gunboat of the United States Navy,  schooner  sail   marine steam engine  
0,,USS Sorrel,Tugboat of the United States Navy,steam engine
0,,USS South America (1861),M,
0,,USS South Carolina (1860),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS South Wind (1861),Schooner,
0,,USS Southerner,M,
0,,USS Southfield,Gunboat of the United States Navy,Steam engine
0,,USS Sovereign (1855),Tender of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Spirea (1864),Steam ship acquired by the US Union Navy,  steam engine   screw-propelled  
0,,USS Springfield (1862),Gunboat of the United States Navy,  steam engine   stern wheel-propelled  
0,,USS Spuyten Duyvil,Torpedo boat of the United States Navy,
0,,USS St. Clair,Civil War era gunboat,  steam engine   stern wheel-propelled  
0,,USS St. Lawrence,"Frigate of the United States Navy, launched 1848",
0,,USS St. Louis (1828),Gunboat of the United States Navy,
0,,USS St. Mary's (1844),Sloop-of-war of the United States Navy,
0,,USS Stars and Stripes,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS State of Georgia (1851),Gunboat of the United States Navy,  Steam engine   side wheels  
0,,USS Stephen Young,M,
0,,USS Stepping Stones (1861),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Stettin (1861),Gunboat of the United States Navy,  Steam engine   screw-propelled  
0,,USS Stockdale (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Stonewall (1863),Tender of the United States Navy,
0,,USS Sumpter (1853),Gunboat of the United States Navy,Steam engine
0,,USS Sumter (1862),525-ton sidewheel paddle streamer,Steam engine sidewheel
0,,USS Sunflower (1863),Gunboat of the United States Navy,  steam engine   screw propelled  
0,,USS Supply (1846),Cargo ship of the United States Navy,
0,,USS Susan Ann Howard,Tender of the United States Navy,schooner
0,,USS Susquehanna (1850),Sidewheel steam frigate,Steam engine
0,,USS Suwanee (1864),Mohongo-class gunboat,bore stroke steam engine surface condenser boilers
0,,USS Sweet Brier (1862),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Swift (1864),Tender of the United States Navy,schooner
0,,USS T. A. Ward,Gunboat of the United States Navy,schooner
0,,USS Ta-Kiang,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Tacony (1863),Gunboat of the United States Navy,Steam engine
0,,USS Tahoma (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Tallahatchie (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Tallapoosa (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Tawah,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,CSS Teaser,M,
0,,USS Tecumseh (1863),Canonicus-class monitor,  1 ×  Propeller   1 ×  Vibrating-lever steam engine  
0,,USS Tempest (1862),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Tenedos (1861),M,
0,,CSS Tennessee (1863),Ironclad warship built by the Confederate Navy,  2 Shafts   2  Steam engines  
0,,USS Tensas (1860),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Theta,Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Thistle (1862),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Thomas Freeborn,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Thunder,Tender of the United States Navy,
0,,USS Ticonderoga (1862),Gunboat of the United States Navy,
0,,USS Tigress (1861),Gunboat of the United States Navy,Steam engine screw
0,,USS Timor (1861),M,
0,,USS Tioga (1862),Gunboat of the United States Navy,  steam engine   side wheel-propelled   double-ender  
0,,USS Trefoil (1865),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Tristram Shandy,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Tritonia (1863),Union Navy steamer in the American Civil War,  steam engine   side wheel-propelled  
0,,USS Tulip (1862),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Tunxis (1864),M,
0,,USS Tuscarora (1861),Sloop-of-war of the United States Navy,
0,,USS Tuscumbia (1862),Gunboat of the United States Navy,
0,,USS Two Sisters,Gunboat of the United States Navy,
0,,USS Tyler,Gunboat of the United States Navy,Steam engine
0,,USS Unadilla (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Uncas (1843),Gunboat of the United States Navy,Steam engine
0,,USS Underwriter (1852),Steamer gunboat (in service 1861–1864),Steam engine
0,,USS Undine (1863),Gunboat of the United States Navy,Steam engine
0,,USS Union (1861),Gunboat of the United States Navy,  steam engine   screw -propelled  
0,,USS Unit (1862),Tugboat of the United States Navy,  steam engine   screw-propelled  
0,,USS United States (1797),First of the six original frigates of the U.S. Navy,
0,,USS Valley City,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Valparaiso (1836),Cargo ship of the United States Navy,
0,,USS Vandalia (1828),Gunboat of the United States Navy,
0,,USS Vanderbilt,Gunboat of the United States Navy,Sidewheel
0,,USS Varuna (1861),Gunboat of the United States Navy,  steam engine   1x  screw propeller  
0,,USS Velocity (1862),Gunboat of the United States Navy,
0,,USS Verbena,Gunboat of the United States Navy,
0,,USS Vermont (1848),Originally intended to be a ship of the line for the U.S. Navy,
0,,USS Vicksburg (1863),Gunboat of the United States Navy,Steam engine
0,,USS Victoria (1855),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Victory,Gunboat of the United States Navy,  steam engine   sternwheel-propelled  
0,,USS Vincennes (1826),US Navy sloop of war,
0,,USS Vindicator (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Violet,Gunboat of the United States Navy,Screw
0,,USS Virginia (1861),Gunboat of the United States Navy,screw steamer
0,,USS Vixen (1861),American naval ship,
0,,USS Volunteer (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Wabash (1855),Gunboat of the United States Navy,steam engine schooner
0,,USS Wachusett (1861),Gunboat of the United States Navy,steam engine
0,,USS Wampanoag (1864),M,"  8 × coal-burning  fire-tube boilers , (4 with superheaters)   2 × compound reciprocating  steam engines   1 × 4-bladed  19 ft (6 m) propeller  "
0,,USS Wamsutta,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Wanderer (1857),Gunboat of the United States Navy,Sails
0,,USS Wando (1864),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Warren (1827),Gunboat of the United States Navy,
0,,USS Water Witch (1851),US Navy gunboat,
0,,USS Wateree (1863),United States Navy sidewheel gunboat,
0,,USS Wave (1863),Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Weehawken (1862),M,  1 × Ericsson vibrating lever engine   2 ×  Martin boilers   1 × shaft  
0,,USS Western World,Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Westfield (1861),Gunboat of the United States Navy,Steam engine
0,,USS Whitehall (1850),Gunboat of the United States Navy,  steam engine   side wheel propelled  
0,,USS Whitehead,Gunboat of the United States Navy,Steam engine
0,,USS Wild Cat,Tender of the United States Navy,
0,,USS Wilderness,Gunboat of the United States Navy,
0,,USS William Bacon,Gunboat of the United States Navy,
0,,USS William Badger,Cargo ship of the United States Navy,
0,,USS William G. Anderson,Gunboat of the United States Navy,
0,,USS William H. Brown,Gunboat of the United States Navy,  steam engine   side wheel-propelled  
0,,USS William Lee (1836),M,
0,,USS Winnebago (1863),Milwaukee-class river monitor,  4 × Shafts   2 ×  Non-condensing steam engines  
0,,USS Winnipec,Mohongo-class gunboat,steam engine
0,,USS Winona (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Wissahickon (1861),Gunboat of the United States Navy,IHP bore stroke back-acting
0,,USS Wyalusing,Gunboat of the United States Navy,Steam engine
0,,USS Wyandank,Cargo ship of the United States Navy,  steam engine   side wheel-propelled  
0,,USS Wyandotte (1853),Gunboat of the United States Navy,Steam engine screw
0,,USS Wyandotte (1864),Canonicus-class monitor,  1 ×  Propeller   1 ×  Vibrating-lever steam engine  
0,,USS Wyoming (1859),Sloop-of-war of the United States Navy,Steam engine
0,,USS Yankee (1861),Tugboat of the United States Navy,  steam engine   side-wheel propelled  
0,,USS Yantic (IX-32),American Civil War gunboat,
0,,USS Young America,Tender of the United States Navy,"  steam engine ,   screw propelled  "
0,,USS Young Rover,Gunboat of the United States Navy,  sail   steam engine  
0,,USS Yucca (1864),Gunboat of the United States Navy,  steam engine   screw-propelled  
0,,USS Zeta,Union Navy steam ship,  steam engine   screw-propelled  
0,,USS Zouave,Tender of the United States Navy,"  steam engine ,   screw propelled  "
